NUM,AIRLINE_ICAO,WAKE,DATETIME,PLANNED_TURNAROUND,DISTANCE,TYPE,HOLDING,ASMA40,ASMA60
1,AEA,H,2016-01-01 04:05:00,605,LEBL,ARR,0,49 18
2,AEA,H,2016-01-01 04:25:00,125.0,ESSA,ARR,0,49,18
3,AVA,H,2016-01-01 05:05:00,120.0,ESSA,DEP,0,49,18
4,IBE,H,2016-01-01 05:20:00,320.0,LEBL,ARR,0,49,18
5,IBE,H,2016-01-01 05:25:00,325.0,LEBL,ARR,0,49,18
6,IBE,H,2016-01-01 05:30:00,160.0,EGLL,ARR,0,49,18
7,IBE,H,2016-01-01 05:30:00,330.0,EBBR,ARR,0,49,18
8,IBE,H,2016-01-01 05:40:00,355.0,EBBR,DEP,0,49,18
9,ANE,M,2016-01-01 05:50:00,540.0,LEBL,DEP,0,49,18
10,ETD,H,2016-01-01 06:35:00,85.0,LLBG,DEP,0,49,18
11,IBS,M,2016-01-01 06:50:00,70.0,LEBL,ARR,0,49,18
12,IBE,H,2016-01-01 06:50:00,225.0,LLBG,ARR,0,49,18
13,IBE,H,2016-01-01 06:50:00,240.0,GMMN,ARR,0,49,18
14,IBE,H,2016-01-01 06:50:00,245.0,GMMN,DEP,0,49,18
15,QTR,H,2016-01-01 06:55:00,95.0,GMMN,ARR,0,49,18
16,IBS,M,2016-01-01 07:00:00,45.0,LEBL,DEP,0,49,18
17,IBS,M,2016-01-01 07:00:00,45.0,LEBL,ARR,0,49,18
18,ELY,M,2016-01-01 07:05:00,85.0,LLBG,ARR,0,49,18
19,AAL,H,2016-01-01 07:05:00,300.0,ESSA,ARR,0,49,18
20,TVF,M,2016-01-01 07:30:00,40.0,ESSA,DEP,0,49,18
